"YearVal","MonthVal","Country","RecordCount","OpsSourceCode"
"2025","11","AT","976","R"
"2025","3","CZ","9141","R"
"2025","4","TW","9","R"
"2025","11","TM","6","R"
"2025","4","EG","7","R"
"2025","9","IN","196","R"
"2025","5",,"16408","I"
"2025","12","AE","22","R"
"2025","12","FR","134","R"
"2025","9","BT","17","R"
"2025","5","CH","6658","R"
"2025","2","KE","1","R"
"2025","4","AU","517","R"
"2025","2","HU","100","R"
"2025","2","IT","7484","R"
"2025","7","KW","67","R"
"2025","2","AU","521","R"
"2025","10","DK","221","R"
"2025","1","PT","44762","R"
"2025","5","EE","380","R"
"2025","10","MY","71","R"
"2025","2","NL","206977","R"
"2025","12","GR","4","R"
"2025","10","JO","1","R"
"2025","7","SA","54","R"
"2025","7","LU","205","R"
"2025","7","PL","3504","R"
"2025","2","ID","10","R"
"2025","6","FJ","10","R"
"2025","6","HK","169","R"
"2025","2","FJ","12","R"
"2025","7","SG","3107","R"
"2025","11","LT","31","R"
"2025","1","IT","21048","R"
"2025","9","ES","8415","R"
"2025","1","SI","117","R"
"2025","11","BE","9373","R"
"2025","11","MY","50","R"
"2025","7","SI","4","R"
"2025","5","ES","8100","R"
"2025","2",,"15613","I"
"2025","9","MY","2836","R"
"2025","12","EE","1","R"
"2025","8","RO","273","R"
"2025","10",,"13144","I"
"2025","11","ID","10","R"
"2025","7","CH","6204","R"
"2025","5","MY","109","R"
"2025","4","SK","48362","R"
"2025","3","UA","49","R"
"2025","11",,"34841","R"
"2025","7","HK","395","R"
"2025","5","FI","282","R"
"2025","1","CY","5784","R"
"2025","2","TH","1187","R"
"2025","8","GR","47","R"
"2025","7","CZ","9287","R"
"2025","8","NZ","2","R"
"2025","4","IT","3806","R"
"2025","7","AT","1037","R"
"2025","8","FI","283","R"
"2025","9","CL","3","R"
"2025","1","NA","2","R"
"2025","5","CY","6096","R"
"2025","2","BE","9081","R"
"2025","1","CN","80","R"
"2025","1","LT","11","R"
"2025","2","IN","49","R"
"2025","10","LT","6","R"
"2025","8","ES","7168","R"
"2025","6","NO","142","R"
"2025","11","FR","40369","R"
"2025","10","CN","74","R"
"2025","8","IE","6062","R"
"2025","9","UA","71","R"
"2025","7","VN","5","R"
"2025","1","DK","500","R"
"2025","9","PH","1","R"
"2025","1","CH","5702","R"
"2025","11","SE","5442","R"
"2025","1","SG","3353","R"
"2025","5","VN","8","R"
"2025","2","ZA","414","R"
"2025","11","GB","8598","R"
"2025","10","BE","3911","R"
"2025","12","MY","1","R"
"2025","12","PT","19","R"
"2025","2","SK","91382","R"
"2025","2","TR","1365","R"
"2025","10","TH","299","R"
"2025","6","NL","112470","R"
"2025","11","GR","57","R"
"2025","3","EE","339","R"
"2025","6","SI","4","R"
"2025","1","PL","2634","R"
"2025","8","CY","4139","R"
"2025","7",,"90041","B"
"2025","1","ZA","137","R"
"2025","11","PL","26215","R"
"2025","7","IL","40","R"
"2025","4",,"84462","B"
"2025","9","SK","30096","R"
"2025","12",,"2950","B"
"2025","7","EE","233","R"
"2025","10","VN","12","R"
"2025","4","CH","6864","R"
"2025","12","IE","53","R"
"2025","3","BT","26","R"
"2025","5","ID","16","R"
"2025","8","DK","211","R"
"2025","9","EE","325","R"
"2025","7","IE","8362","R"
"2025","7",,"30144","R"
"2025","5","JO","3","R"
"2025","11","NL","189983","R"
"2025","2","SA","65","R"
"2025","2","CN","78","R"
"2025","3","PL","5962","R"
"2025","2","SG","3662","R"
"2025","2","EE","333","R"
"2025","2","KW","64","R"
"2025","3",,"32770","R"
"2025","3","VN","50","R"
"2025","8","HU","553","R"
"2025","6","BG","2774","R"
"2025","11","TW","11","R"
"2025","6","GB","10395","R"
"2025","3","MY","562","R"
"2025","10","IE","4788","R"
"2025","2","LU","224","R"
"2025","1","TR","1109","R"
"2025","5","AE","451","R"
"2025","6","JP","20","R"
"2025","8","CH","4441","R"
"2025","3","ZA","59","R"
"2025","8","IL","40","R"
"2025","5","ZA","431","R"
"2025","2","PL","4922","R"
"2025","7","HU","497","R"
"2025","5","SG","3057","R"
"2025","8","BH","38","R"
"2025","1","TW","9","R"
"2025","6","CL","13","R"
"2025","3","NL","136870","R"
"2025","5","TM","3","R"
"2025","4","NZ","2","R"
"2025","5","DK","212","R"
"2025","7","CL","25","R"
"2025","5","UA","47","R"
"2025","6","CH","5037","R"
"2025","8","TW","12","R"
