"QueryName","YearVal","MonthVal","Country","RecordCount","Division","Product","BillingType"
"03_InvoicedConsignments_YI","2025","10","EE","272","G","15N","Duty Billing"
"03_InvoicedConsignments_YI","2025","7","GB","2","G","09D","Freight Billing"
"03_InvoicedConsignments_YI","2025","6","SK","5","S","728","Freight Billing"
"03_InvoicedConsignments_YI","2025","11","AT","1","S","NFO","Duty Billing"
"03_InvoicedConsignments_YI","2025","5","KW","1","G","130","Duty Billing"
"03_InvoicedConsignments_YI","2025","3","GB","542","G","12N","Freight Billing"
"03_InvoicedConsignments_YI","2025","8","SA","14","S","1P","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","SK","130","G","412","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","LU","8","S","NFO","Freight Billing"
"03_InvoicedConsignments_YI","2025","6","AT","7","G","10N","Duty Billing"
"03_InvoicedConsignments_YI","2025","3","MY","5","S","30","Freight Billing"
"03_InvoicedConsignments_YI","2025","1","RO","192","D","12D","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","TH","108","S","728","Freight Billing"
"03_InvoicedConsignments_YI","2025","6","KW","96","G","29","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","CN","21","G","12N","Freight Billing"
"03_InvoicedConsignments_YI","2025","8","PT","5","S","726","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","ZA","5856","D","15","Freight Billing"
"03_InvoicedConsignments_YI","2025","11","MT","357","G","15N","Freight Billing"
"03_InvoicedConsignments_YI","2025","5","DK","3","S","1PN","Freight Billing"
"03_InvoicedConsignments_YI","2025","4","NL","24","G","12N","Duty Billing"
"03_InvoicedConsignments_YI","2025","6","FR","3","G","101","Freight Billing"
"03_InvoicedConsignments_YI","2025","2","EG","195","G","15N","Duty Billing"
"03_InvoicedConsignments_YI","2025","2","ES","250","S","DNE","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","AT","1779","S","DNI","Freight Billing"
"03_InvoicedConsignments_YI","2025","5","ES","61","D","10N","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","JP","12","S","NFO","Duty Billing"
"03_InvoicedConsignments_YI","2025","8","FR","81","D","15D","Freight Billing"
"03_InvoicedConsignments_YI","2025","1","LV","3","G","12D","Freight Billing"
"03_InvoicedConsignments_YI","2025","4","RO","19478","D","15D","Freight Billing"
"03_InvoicedConsignments_YI","2025","5","MY","129","D","15D","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","BH","2","G","09N","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","IN","4","G","15N","Duty Billing"
"03_InvoicedConsignments_YI","2025","2","KW","57","G","99","Freight Billing"
"03_InvoicedConsignments_YI","2025","11","ES","15","S","RFD","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","BG","14","G","10N","Freight Billing"
"03_InvoicedConsignments_YI","2025","2","SG","335","S","25","Freight Billing"
"03_InvoicedConsignments_YI","2025","1","ES","230","S","1EN","Freight Billing"
"03_InvoicedConsignments_YI","2025","11","CH","6","S","731","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","PT","27","G","12D","Freight Billing"
"03_InvoicedConsignments_YI","2025","4","BH","12","G","48N","Duty Billing"
"03_InvoicedConsignments_YI","2025","10","SG","21","G","30","Freight Billing"
"03_InvoicedConsignments_YI","2025","1","DK","10918","D","15","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","PL","12","G","09N","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","IT","1","G","12N","Duty Billing"
"03_InvoicedConsignments_YI","2025","8","SK","6","FX","7001","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","NL","137645","G","15N","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","ES","24261","D","15","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","TR","77","G","12D","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","EG","5","Z","105","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","ES","230","S","DNE","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","NL","229","S","1PN","Freight Billing"
"03_InvoicedConsignments_YI","2025","4","PT","73","FX","0115","Freight Billing"
"03_InvoicedConsignments_YI","2025","2","CH","4727","G","15N","Duty Billing"
"03_InvoicedConsignments_YI","2025","7","SE","12","S","24","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","CY","2","FX","IPDG","Duty Billing"
"03_InvoicedConsignments_YI","2025","7","ID","1","G","10D","Freight Billing"
"03_InvoicedConsignments_YI","2025","6","FR","3071","S","1EN","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","IT","30286","G","15N","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","NO","40","S","1P","Freight Billing"
"03_InvoicedConsignments_YI","2025","11","HU","31","G","10N","Freight Billing"
"03_InvoicedConsignments_YI","2025","11","TH","103","D","12","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","LV","59","S","NFO","Freight Billing"
"03_InvoicedConsignments_YI","2025","1","PT","194","G","412","Freight Billing"
"03_InvoicedConsignments_YI","2025","4","CZ","29","D","10N","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","NO","472","G","48N","Duty Billing"
"03_InvoicedConsignments_YI","2025","4","IN","1","S","1EN","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","SK","128","G","412","Freight Billing"
"03_InvoicedConsignments_YI","2025","6","DK","9","S","728","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","SK","13","S","1P","Freight Billing"
"03_InvoicedConsignments_YI","2025","4","TR","5","S","728","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","TW","73","G","15N","Freight Billing"
"03_InvoicedConsignments_YI","2025","2","GR","9","S","820","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","LV","4","G","12D","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","AE","1","G","09N","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","IT","7","G","15N","Duty Billing"
"03_InvoicedConsignments_YI","2025","11","GB","1537","Z","105","Freight Billing"
"03_InvoicedConsignments_YI","2025","2","NO","113","G","12N","Freight Billing"
"03_InvoicedConsignments_YI","2025","4","BG","10","G","12D","Freight Billing"
"03_InvoicedConsignments_YI","2025","5","SE","1","G","SSN","Freight Billing"
"03_InvoicedConsignments_YI","2025","4","BE","25","D","101","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","PT","35","G","12D","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","FR","2047","S","1E","Freight Billing"
"03_InvoicedConsignments_YI","2025","4","LT","11","Z","105","Duty Billing"
"03_InvoicedConsignments_YI","2025","3","ID","81","S","NFO","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","IT","28","S","RFD","Freight Billing"
"03_InvoicedConsignments_YI","2025","2","MT","586","G","48N","Freight Billing"
"03_InvoicedConsignments_YI","2025","2","FR","52","G","12D","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","AT","19496","G","48N","Freight Billing"
"03_InvoicedConsignments_YI","2025","2","IL","89","G","15D","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","EE","2541","G","48N","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","SK","1","S","25","Freight Billing"
"03_InvoicedConsignments_YI","2025","8","PT","1","FX","0102","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","NZ","2","S","NFO","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","GB","7","C","48N","Duty Billing"
"03_InvoicedConsignments_YI","2025","10","SG","1354","G","15N","Freight Billing"
"03_InvoicedConsignments_YI","2025","5","BE","1","Z","102","Duty Billing"
"03_InvoicedConsignments_YI","2025","5","UA","84","FX","0106","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","PT","2265","G","15D","Freight Billing"
"03_InvoicedConsignments_YI","2025","6","TR","7142","G","15D","Freight Billing"
"03_InvoicedConsignments_YI","2025","1","HU","12","S","1EN","Freight Billing"
"03_InvoicedConsignments_YI","2025","11","GB","5","D","09N","Freight Billing"
"03_InvoicedConsignments_YI","2025","8","SI","1","G","412","Duty Billing"
"03_InvoicedConsignments_YI","2025","1","CH","2","P","48N","Duty Billing"
"03_InvoicedConsignments_YI","2025","2","ES","1","G","09D","Freight Billing"
"03_InvoicedConsignments_YI","2025","3","SK","3","D","12D","Freight Billing"
"03_InvoicedConsignments_YI","2025","4","NL","4","S","24","Freight Billing"
"03_InvoicedConsignments_YI","2025","4","BG","87","D","12","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","SG","9786","S","DNI","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","GB","12","S","731","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","LT","3","Z","105","Duty Billing"
"03_InvoicedConsignments_YI","2025","11","AT","4","S","CBE","Freight Billing"
"03_InvoicedConsignments_YI","2025","2","LT","8","G","12D","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","CZ","4","D","100","Freight Billing"
"03_InvoicedConsignments_YI","2025","7","IE","1","G","09D","Freight Billing"
"03_InvoicedConsignments_YI","2025","2","NL","136","G","101","Freight Billing"
"03_InvoicedConsignments_YI","2025","10","CH","44","D","10","Freight Billing"
"03_InvoicedConsignments_YI","2025","9","KR","1914","G","29","Freight Billing"
