"YearVal","MonthVal","Country","RecordCount"
"2025","11","NL","37067"
"2025","11","SK","11222"
"2025","9","CH","104"
"2025","10","FR","25507"
"2025","10","CZ","2990"
"2025","9","FR","20886"
"2025","11","FR","21269"
"2025","9","NL","22443"
"2025","12","FR","1026"
"2025","11","CH","134"
"2025","12","BE","120"
"2025","10","CH","188"
"2025","11","BE","2909"
"2025","9","CZ","2230"
"2025","11","CZ","1867"
"2025","10","NL","26008"
"2025","10","BE","2884"
"2025","10","SK","13675"
"2025","9","SK","12313"
"2025","12","SK","219"
"2025","12","NL","1785"
"2025","9","BE","2430"
